Min	Max	Gen[Cu K-L2]	Emit[Cu K-L2]	Gen[Cu K-L3]	Emit[Cu K-L3]	Gen[Cu K-M2]	Emit[Cu K-M2]	Gen[Cu K-M3]	Emit[Cu K-M3]	Gen[Cu L1-M2]	Emit[Cu L1-M2]	Gen[Cu L1-M3]	Emit[Cu L1-M3]	Gen[Cu L1-M4]	Emit[Cu L1-M4]	Gen[Cu L1-M5]	Emit[Cu L1-M5]	Gen[Cu L2-M1]	Emit[Cu L2-M1]	Gen[Cu L2-M3]	Emit[Cu L2-M3]	Gen[Cu L2-M4]	Emit[Cu L2-M4]	Gen[Cu L2-N1]	Emit[Cu L2-N1]	Gen[Cu L3-M1]	Emit[Cu L3-M1]	Gen[Cu L3-M2]	Emit[Cu L3-M2]	Gen[Cu L3-M3]	Emit[Cu L3-M3]	Gen[Cu L3-M4]	Emit[Cu L3-M4]	Gen[Cu L3-M5]	Emit[Cu L3-M5]	Gen_I[Cu K-L2]	Emit_I[Cu K-L2]	Gen_I[Cu K-L3]	Emit_I[Cu K-L3]	Gen_I[Cu K-M2]	Emit_I[Cu K-M2]	Gen_I[Cu K-M3]	Emit_I[Cu K-M3]	Gen_I[Cu L1-M2]	Emit_I[Cu L1-M2]	Gen_I[Cu L1-M3]	Emit_I[Cu L1-M3]	Gen_I[Cu L1-M4]	Emit_I[Cu L1-M4]	Gen_I[Cu L1-M5]	Emit_I[Cu L1-M5]	Gen_I[Cu L2-M1]	Emit_I[Cu L2-M1]	Gen_I[Cu L2-M3]	Emit_I[Cu L2-M3]	Gen_I[Cu L2-M4]	Emit_I[Cu L2-M4]	Gen_I[Cu L2-N1]	Emit_I[Cu L2-N1]	Gen_I[Cu L3-M1]	Emit_I[Cu L3-M1]	Gen_I[Cu L3-M2]	Emit_I[Cu L3-M2]	Gen_I[Cu L3-M3]	Emit_I[Cu L3-M3]	Gen_I[Cu L3-M4]	Emit_I[Cu L3-M4]	Gen_I[Cu L3-M5]	Emit_I[Cu L3-M5]
		Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)
4999.500	4999.555	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.555	4999.609	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.609	4999.664	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.664	4999.718	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.718	4999.773	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.773	4999.827	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.827	4999.882	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.882	4999.936	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.936	4999.991	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.991	5000.045	1.277	1.275	1.277	1.275	1.277	1.276	1.277	1.276	1.922	1.331	1.922	1.331	1.922	1.421	1.922	1.421	14.763	13.686	14.773	13.814	329.356	237.071	14.762	10.013	350.600	323.660	13.070	12.178	13.086	12.193	350.605	330.484	351.884	331.690	151577.866	151303.213	295560.596	295028.622	18369.246	18344.099	35941.985	35892.783	50248.980	34800.253	77757.589	53851.516	189.795	140.324	249.654	184.580	62694.974	58120.527	2187.891	2045.751	598826.714	431036.978	16278.490	11041.536	124125.828	114587.838	2337.709	2178.153	2265.970	2111.311	106129.253	100038.499	1140673.151	1075209.949
5000.045	5000.100	1.660	1.651	1.660	1.651	1.660	1.653	1.660	1.653	3.055	1.018	3.055	1.018	3.055	1.243	3.055	1.243	23.488	18.809	23.504	19.304	523.621	196.123	23.485	7.327	557.768	441.151	20.808	16.913	20.832	16.933	557.776	469.099	559.811	470.810	197029.054	195959.043	384185.543	382113.021	23877.333	23779.326	46719.323	46527.559	79849.565	26597.233	123562.898	41157.784	301.599	122.734	396.719	161.442	99745.298	79874.938	3480.851	2858.845	952034.283	356586.412	25898.452	8079.943	197471.132	156184.351	3721.537	3024.963	3607.333	2932.135	168840.476	141997.659	1814692.413	1526186.582
5000.100	5000.155	1.438	1.424	1.438	1.425	1.438	1.428	1.438	1.428	2.994	0.453	2.994	0.453	2.994	0.641	2.994	0.641	23.015	15.775	23.030	16.481	512.882	95.218	23.012	3.109	546.389	366.698	20.390	14.337	20.415	14.354	546.397	407.140	548.391	408.626	170624.423	169049.030	332699.341	329647.898	20677.438	20533.076	40458.285	40175.819	78264.786	11838.288	121110.538	18319.113	295.613	63.308	388.845	83.275	97735.547	66991.895	3410.716	2440.807	932508.184	173122.148	25376.629	3428.828	193442.621	129825.031	3646.878	2564.163	3534.965	2485.475	165396.046	123242.448	1777673.138	1324607.140
5000.155	5000.209	0.902	0.890	0.902	0.890	0.902	0.893	0.902	0.893	2.806	0.179	2.806	0.179	2.806	0.297	2.806	0.297	21.705	12.537	21.719	13.357	483.235	41.496	21.702	1.170	515.521	288.768	19.255	11.542	19.278	11.555	515.528	336.221	517.410	337.449	107003.275	105567.877	208644.921	205864.601	12967.391	12835.790	25372.505	25115.009	73355.202	4668.773	113513.222	7224.675	277.069	29.337	364.453	38.589	92172.522	53240.706	3216.583	1978.154	878604.668	75446.876	23932.210	1290.340	182514.026	102235.054	3443.891	2064.261	3338.212	2000.918	156051.952	101775.272	1677245.893	1093880.295
5000.209	5000.264	0.554	0.545	0.554	0.545	0.554	0.547	0.554	0.547	2.221	0.061	2.221	0.061	2.221	0.118	2.221	0.118	17.308	8.459	17.320	9.186	385.195	15.629	17.307	0.382	411.412	193.181	15.373	7.885	15.391	7.895	411.418	235.594	412.921	236.455	65763.072	64618.119	128230.943	126013.176	7969.620	7864.596	15593.671	15388.177	58055.054	1589.129	89837.067	2459.091	219.279	11.677	288.437	15.359	73503.887	35923.097	2565.098	1360.461	700352.165	28417.066	19084.975	421.533	145655.715	68393.346	2749.511	1410.307	2665.144	1367.033	124537.599	71315.101	1338531.598	766495.553
5000.264	5000.318	0.418	0.409	0.418	0.409	0.418	0.411	0.418	0.411	2.484	0.030	2.484	0.030	2.484	0.069	2.484	0.069	19.273	8.031	19.286	8.883	428.713	8.470	19.271	0.180	457.769	181.644	17.112	7.565	17.133	7.574	457.775	231.555	459.447	232.400	49605.884	48548.027	96726.158	94677.068	6011.581	5914.500	11762.495	11572.541	64942.577	792.740	100495.137	1226.723	245.294	6.774	322.656	8.910	81845.950	34107.269	2856.213	1315.475	779474.258	15399.502	21250.958	198.998	162067.520	64308.900	3060.642	1353.093	2966.726	1311.573	138569.915	70092.304	1489351.364	753353.041
5000.318	5000.373	0.163	0.159	0.163	0.159	0.163	0.160	0.163	0.160	1.621	0.009	1.621	0.009	1.621	0.023	1.621	0.023	12.597	4.477	12.606	5.043	280.101	2.698	12.596	0.050	299.201	100.355	11.189	4.264	11.202	4.269	299.205	133.712	300.298	134.201	19321.951	18836.455	37675.735	36735.306	2341.567	2296.991	4581.601	4494.382	42367.656	230.782	65561.665	357.123	160.027	2.293	210.497	3.016	53495.464	19012.849	1866.854	746.783	509272.717	4906.250	13889.873	55.248	105928.410	35529.532	2001.195	762.707	1939.789	739.303	90570.219	40475.028	973450.978	435026.603
5000.373	5000.427	0.047	0.046	0.047	0.046	0.047	0.046	0.047	0.046	1.357	0.003	1.357	0.003	1.357	0.009	1.357	0.009	10.622	3.152	10.630	3.624	236.105	1.010	10.621	0.016	252.551	70.011	9.448	3.043	9.459	3.047	252.555	98.074	253.478	98.432	5597.660	5433.293	10914.837	10596.446	678.363	663.263	1327.311	1297.767	35458.722	77.469	54870.461	119.879	133.931	0.912	176.171	1.200	45110.081	13385.050	1574.227	536.703	429280.645	1836.088	11712.642	17.711	89412.804	24786.561	1689.787	544.288	1637.939	527.588	76449.153	29687.179	821677.754	319078.684
5000.427	5000.482	0.013	0.012	0.013	0.012	0.013	0.012	0.013	0.012	0.648	0.001	0.648	0.001	0.648	0.003	0.648	0.003	5.106	1.323	5.109	1.545	113.472	0.263	5.105	0.004	121.463	29.175	4.544	1.290	4.550	1.291	121.464	42.439	121.908	42.594	1511.963	1462.071	2948.166	2851.521	183.230	178.645	358.515	349.543	16944.445	18.650	26220.615	28.860	64.001	0.250	84.186	0.328	21681.741	5617.332	756.638	228.765	206311.696	477.893	5629.572	4.096	43002.379	10328.903	812.756	230.674	787.819	223.596	36767.614	12846.458	395179.721	138074.212
5000.482	5000.536	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.529	0.000	0.529	0.000	0.529	0.001	0.529	0.001	4.192	0.888	4.195	1.061	93.157	0.087	4.191	0.001	99.818	19.380	3.735	0.878	3.739	0.879	99.819	29.814	100.184	29.923	76.373	73.628	148.919	143.601	9.255	9.003	18.109	17.616	13825.450	5.465	21394.139	8.457	52.220	0.089	68.689	0.116	17801.872	3770.070	621.241	157.119	169375.115	158.196	4622.180	1.140	35339.380	6861.138	667.989	157.111	647.495	152.291	30215.646	9024.657	324758.917	96997.362
5000.536	5000.591	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.190	0.000	0.190	0.000	0.190	0.000	0.190	0.000	1.529	0.286	1.530	0.347	33.974	0.018	1.529	0.000	36.482	6.213	1.365	0.286	1.367	0.286	36.482	9.894	36.616	9.930	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4966.805	1.043	7685.862	1.613	18.760	0.019	24.677	0.025	6492.257	1214.609	226.564	51.344	61769.862	32.833	1685.686	0.212	12915.894	2199.789	244.139	51.153	236.650	49.584	11043.263	2995.011	118693.414	32190.488
5000.591	5000.645	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.000	0.022	0.000	0.022	0.000	0.022	0.000	0.169	0.026	0.169	0.032	3.763	0.001	0.169	0.000	4.015	0.556	0.150	0.026	0.150	0.026	4.015	0.935	4.030	0.939	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	577.614	0.046	893.827	0.070	2.182	0.001	2.870	0.001	719.080	110.649	25.094	4.783	6841.604	1.519	186.706	0.008	1421.501	196.961	26.870	4.692	26.045	4.548	1215.403	283.087	13063.160	3042.617
5000.645	5000.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.064	0.000	0.064	0.000	0.064	0.000	0.064	0.000	0.524	0.068	0.524	0.086	11.641	0.001	0.524	0.000	12.516	1.458	0.468	0.070	0.469	0.070	12.516	2.566	12.562	2.575	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1682.844	0.058	2604.110	0.089	6.356	0.001	8.361	0.002	2224.547	290.500	77.631	12.796	21165.208	2.230	577.594	0.011	4431.232	516.188	83.760	12.549	81.191	12.164	3788.763	776.596	40721.815	8346.889
5000.700	5000.755	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.755	5000.809	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.809	5000.864	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.864	5000.918	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.918	5000.973	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.973	5001.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5001.027	5001.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5001.082	5001.136	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5001.136	5001.191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
