Min	Max	Gen[C K-L2]	Emit[C K-L2]	Gen[C K-L3]	Emit[C K-L3]	Gen[Cu L1-M2]	Emit[Cu L1-M2]	Gen[Cu L1-M3]	Emit[Cu L1-M3]	Gen[Cu L1-M4]	Emit[Cu L1-M4]	Gen[Cu L1-M5]	Emit[Cu L1-M5]	Gen[Cu L2-M1]	Emit[Cu L2-M1]	Gen[Cu L2-M3]	Emit[Cu L2-M3]	Gen[Cu L2-M4]	Emit[Cu L2-M4]	Gen[Cu L2-N1]	Emit[Cu L2-N1]	Gen[Cu L3-M1]	Emit[Cu L3-M1]	Gen[Cu L3-M2]	Emit[Cu L3-M2]	Gen[Cu L3-M3]	Emit[Cu L3-M3]	Gen[Cu L3-M4]	Emit[Cu L3-M4]	Gen[Cu L3-M5]	Emit[Cu L3-M5]	Gen_I[C K-L2]	Emit_I[C K-L2]	Gen_I[C K-L3]	Emit_I[C K-L3]	Gen_I[Cu L1-M2]	Emit_I[Cu L1-M2]	Gen_I[Cu L1-M3]	Emit_I[Cu L1-M3]	Gen_I[Cu L1-M4]	Emit_I[Cu L1-M4]	Gen_I[Cu L1-M5]	Emit_I[Cu L1-M5]	Gen_I[Cu L2-M1]	Emit_I[Cu L2-M1]	Gen_I[Cu L2-M3]	Emit_I[Cu L2-M3]	Gen_I[Cu L2-M4]	Emit_I[Cu L2-M4]	Gen_I[Cu L2-N1]	Emit_I[Cu L2-N1]	Gen_I[Cu L3-M1]	Emit_I[Cu L3-M1]	Gen_I[Cu L3-M2]	Emit_I[Cu L3-M2]	Gen_I[Cu L3-M3]	Emit_I[Cu L3-M3]	Gen_I[Cu L3-M4]	Emit_I[Cu L3-M4]	Gen_I[Cu L3-M5]	Emit_I[Cu L3-M5]
		Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)
4999.900	4999.911	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.911	4999.922	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.922	4999.933	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.933	4999.944	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.944	4999.955	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.955	4999.965	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.965	4999.976	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.976	4999.987	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.987	4999.998	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.998	5000.009	1.528	1.521	1.528	1.521	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	515541.404	513397.944	1028897.570	1024772.783	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.009	5000.020	1.962	1.936	1.962	1.937	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	662058.438	653391.792	1321310.594	1304630.376	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.020	5000.031	0.936	0.917	0.936	0.918	1.072	1.004	1.072	1.004	1.072	1.016	1.072	1.016	8.349	7.997	8.355	8.048	8.349	7.825	8.348	7.764	7.424	7.091	7.423	7.135	7.432	7.143	7.424	7.190	7.451	7.216	315856.037	309507.637	630373.247	618153.391	43501.451	40742.332	67316.151	63046.563	164.309	155.732	216.130	204.847	55060.383	52740.349	1921.467	1851.035	523865.936	490972.342	14296.197	13296.845	109080.399	104189.052	2061.864	1981.678	1998.598	1920.873	93265.213	90321.218	1002416.353	970774.239
5000.031	5000.042	0.000	0.000	0.000	0.000	2.364	1.947	2.364	1.947	2.364	2.018	2.364	2.018	18.485	17.260	18.498	17.421	18.485	15.450	18.483	15.000	16.446	15.291	16.445	15.433	16.465	15.452	16.446	15.613	16.507	15.671	0.000	0.000	0.000	0.000	95954.185	79028.115	148483.930	122291.748	362.428	309.354	476.732	406.919	121908.479	113825.939	4254.296	4006.646	1159884.767	969408.568	31653.022	25688.398	241644.182	224664.052	4567.616	4286.620	4427.467	4155.093	206609.035	196145.704	2220638.106	2108178.015
5000.042	5000.053	0.000	0.000	0.000	0.000	2.565	1.789	2.565	1.789	2.565	1.912	2.565	1.912	20.147	18.202	20.161	18.442	20.147	14.518	20.145	13.701	17.935	16.105	17.933	16.321	17.955	16.341	17.935	16.595	18.000	16.656	0.000	0.000	0.000	0.000	104142.196	72609.413	161154.436	112359.154	393.355	293.185	517.413	385.651	132867.839	120040.187	4636.751	4241.336	1264156.385	910961.754	34498.571	23463.845	263511.412	236621.916	4980.955	4533.195	4828.128	4394.106	225305.810	208482.790	2421592.046	2240777.832
5000.053	5000.064	0.000	0.000	0.000	0.000	2.547	1.502	2.547	1.502	2.547	1.656	2.547	1.656	20.081	17.551	20.095	17.850	20.081	12.466	20.079	11.433	17.886	15.509	17.885	15.782	17.906	15.801	17.886	16.129	17.952	16.189	0.000	0.000	0.000	0.000	103394.606	60966.068	159997.580	94341.704	390.531	253.975	513.699	334.074	132435.229	115750.613	4621.656	4105.305	1260040.369	782173.211	34386.244	19579.288	262800.160	227870.338	4967.511	4383.449	4815.101	4248.958	224697.680	202626.924	2415055.993	2177838.983
5000.064	5000.075	0.000	0.000	0.000	0.000	2.421	1.208	2.421	1.208	2.421	1.375	2.421	1.375	19.203	16.240	19.216	16.579	19.203	10.278	19.201	9.163	17.117	14.335	17.116	14.647	17.136	14.664	17.117	15.045	17.180	15.101	0.000	0.000	0.000	0.000	98268.488	49054.110	152065.188	75908.592	371.169	210.789	488.230	277.268	126641.980	107102.229	4419.489	3812.911	1204921.143	644901.251	32882.048	15691.273	251500.507	210620.564	4753.922	4068.148	4608.071	3943.337	215036.323	189007.812	2311216.407	2031461.237
5000.075	5000.085	0.000	0.000	0.000	0.000	2.150	0.908	2.150	0.908	2.150	1.066	2.150	1.066	17.143	14.027	17.155	14.373	17.144	7.906	17.142	6.850	15.291	12.366	15.290	12.687	15.308	12.702	15.291	13.099	15.348	13.147	0.000	0.000	0.000	0.000	87273.736	36853.915	135051.402	57029.448	329.641	163.376	433.605	214.902	113060.090	92504.578	3945.517	3305.714	1075697.751	496056.915	29355.566	11730.250	224674.070	181694.687	4246.842	3523.826	4116.553	3415.719	192099.358	164554.556	2064690.017	1768637.612
5000.085	5000.096	0.000	0.000	0.000	0.000	1.872	0.669	1.872	0.669	1.872	0.810	1.872	0.810	15.027	11.896	15.037	12.236	15.027	5.973	15.025	5.030	13.414	10.476	13.413	10.792	13.429	10.805	13.414	11.199	13.463	11.240	0.000	0.000	0.000	0.000	75993.797	27157.905	117596.305	42025.394	287.036	124.194	377.562	163.363	99100.547	78451.584	3458.366	2814.124	942881.221	374784.618	25731.028	8613.962	197087.480	153927.822	3725.393	2997.511	3611.107	2905.555	168512.450	140689.788	1811178.278	1512139.238
5000.096	5000.107	0.000	0.000	0.000	0.000	1.565	0.473	1.565	0.473	1.565	0.591	1.565	0.591	12.656	9.693	12.665	10.008	12.656	4.334	12.655	3.547	11.308	8.528	11.307	8.821	11.320	8.832	11.308	9.201	11.349	9.234	0.000	0.000	0.000	0.000	63529.245	19204.181	98308.082	29717.435	239.956	90.602	315.634	119.176	83467.514	63925.259	2912.813	2301.751	794142.451	271966.598	21671.976	6074.990	166143.128	125303.887	3140.475	2450.106	3044.138	2374.947	142054.612	115584.481	1526809.434	1242307.263
5000.107	5000.118	0.000	0.000	0.000	0.000	1.255	0.321	1.255	0.321	1.255	0.414	1.255	0.414	10.232	7.581	10.239	7.857	10.232	3.019	10.231	2.401	9.150	6.664	9.149	6.921	9.160	6.929	9.150	7.256	9.184	7.282	0.000	0.000	0.000	0.000	50956.224	13028.568	78852.010	20161.007	192.466	63.414	253.167	83.413	67476.858	49995.811	2354.780	1807.027	642001.124	189415.627	17520.070	4111.948	134438.243	97909.031	2541.182	1922.297	2463.233	1863.332	114946.508	91148.386	1235451.099	979667.643
5000.118	5000.129	0.000	0.000	0.000	0.000	0.971	0.210	0.971	0.210	0.971	0.279	0.971	0.279	7.983	5.722	7.989	5.953	7.983	2.028	7.983	1.568	7.146	5.025	7.145	5.240	7.154	5.247	7.146	5.522	7.172	5.542	0.000	0.000	0.000	0.000	39429.788	8523.117	61015.471	13189.064	148.930	42.802	195.900	56.301	52650.253	37736.803	1837.369	1369.132	500935.030	127280.057	13670.406	2685.126	104995.728	73832.946	1984.653	1455.560	1923.778	1410.914	89772.760	69370.987	964883.166	745603.643
5000.129	5000.140	0.000	0.000	0.000	0.000	0.719	0.132	0.719	0.132	0.719	0.181	0.719	0.181	5.969	4.140	5.973	4.323	5.969	1.309	5.968	0.983	5.349	3.633	5.348	3.804	5.355	3.809	5.349	4.029	5.368	4.044	0.000	0.000	0.000	0.000	29187.350	5345.395	45165.852	8271.711	110.243	27.686	145.012	36.417	39363.763	27304.223	1373.703	994.349	374522.181	82104.647	10220.626	1683.825	78587.697	53383.091	1485.482	1056.679	1439.921	1024.270	67193.538	50615.382	722200.958	544017.751
5000.140	5000.151	0.000	0.000	0.000	0.000	0.514	0.080	0.514	0.080	0.514	0.113	0.514	0.113	4.311	2.893	4.314	3.033	4.312	0.814	4.311	0.594	3.868	2.537	3.868	2.667	3.872	2.671	3.868	2.839	3.882	2.850	0.000	0.000	0.000	0.000	20857.158	3229.623	32275.328	4997.667	78.779	17.258	103.625	22.701	28434.032	19079.052	992.282	697.453	270532.461	51074.798	7382.769	1017.907	56831.697	37274.903	1074.245	740.863	1041.300	718.142	48591.865	35669.518	522269.481	383379.002
5000.151	5000.162	0.000	0.000	0.000	0.000	0.337	0.044	0.337	0.044	0.337	0.065	0.337	0.065	2.871	1.864	2.873	1.961	2.871	0.467	2.870	0.332	2.579	1.634	2.579	1.725	2.582	1.727	2.579	1.845	2.589	1.852	0.000	0.000	0.000	0.000	13695.443	1795.728	21192.960	2778.793	51.729	9.898	68.043	13.020	18931.008	12291.517	660.649	451.023	180116.993	29322.989	4915.350	568.053	37895.683	24006.436	716.312	479.088	694.346	464.397	32401.319	23183.279	348252.544	249176.156
5000.162	5000.173	0.000	0.000	0.000	0.000	0.210	0.023	0.210	0.023	0.210	0.035	0.210	0.035	1.808	1.136	1.809	1.199	1.808	0.253	1.808	0.175	1.627	0.995	1.627	1.055	1.629	1.056	1.627	1.134	1.633	1.139	0.000	0.000	0.000	0.000	8510.688	943.124	13169.830	1459.434	32.146	5.364	42.284	7.056	11924.604	7489.309	416.142	275.859	113455.331	15903.156	3096.169	299.376	23906.380	14622.108	451.883	293.010	438.027	284.025	20440.276	14251.614	219694.320	153177.902
5000.173	5000.184	0.000	0.000	0.000	0.000	0.108	0.010	0.108	0.010	0.108	0.016	0.108	0.016	0.947	0.576	0.948	0.611	0.947	0.115	0.947	0.077	0.854	0.505	0.854	0.537	0.855	0.538	0.854	0.581	0.857	0.583	0.000	0.000	0.000	0.000	4372.612	411.484	6766.381	636.749	16.516	2.413	21.725	3.173	6247.615	3799.025	218.028	140.451	59442.245	7203.433	1622.164	131.877	12550.055	7418.463	237.224	149.253	229.951	144.677	10730.465	7295.683	115332.449	78414.963
5000.184	5000.195	0.000	0.000	0.000	0.000	0.057	0.005	0.057	0.005	0.057	0.007	0.057	0.007	0.515	0.303	0.515	0.322	0.515	0.054	0.515	0.035	0.465	0.265	0.465	0.284	0.466	0.284	0.465	0.308	0.467	0.309	0.000	0.000	0.000	0.000	2316.243	183.556	3584.261	284.043	8.749	1.111	11.508	1.462	3394.283	1995.080	118.453	74.046	32294.529	3358.741	881.309	59.716	6839.024	3900.234	129.273	78.799	125.310	76.384	5847.457	3872.008	62849.275	41616.880
5000.195	5000.205	0.000	0.000	0.000	0.000	0.027	0.002	0.027	0.002	0.027	0.003	0.027	0.003	0.245	0.140	0.245	0.149	0.245	0.022	0.245	0.014	0.222	0.123	0.222	0.131	0.222	0.132	0.222	0.144	0.223	0.144	0.000	0.000	0.000	0.000	1076.243	72.769	1665.428	112.606	4.065	0.454	5.347	0.597	1615.327	920.098	56.372	34.272	15368.849	1387.604	419.412	24.011	3263.805	1800.594	61.693	36.520	59.802	35.401	2790.597	1803.219	29993.743	19381.254
5000.205	5000.216	0.000	0.000	0.000	0.000	0.010	0.001	0.010	0.001	0.010	0.001	0.010	0.001	0.095	0.052	0.095	0.056	0.095	0.007	0.095	0.005	0.087	0.046	0.087	0.050	0.087	0.050	0.087	0.055	0.087	0.055	0.000	0.000	0.000	0.000	402.017	22.926	622.099	35.476	1.518	0.148	1.997	0.194	628.535	346.170	21.935	12.944	5980.124	464.002	163.196	7.799	1275.689	679.212	24.113	13.833	23.374	13.410	1090.732	686.586	11723.355	7379.535
5000.216	5000.227	0.000	0.000	0.000	0.000	0.002	0.000	0.002	0.000	0.002	0.000	0.002	0.000	0.023	0.012	0.023	0.013	0.023	0.002	0.023	0.001	0.021	0.011	0.021	0.012	0.021	0.012	0.021	0.013	0.021	0.013	0.000	0.000	0.000	0.000	88.035	4.298	136.230	6.651	0.333	0.028	0.437	0.037	148.523	79.325	5.183	2.977	1413.110	95.467	38.563	1.563	304.036	156.709	5.747	3.204	5.571	3.106	259.955	159.767	2794.035	1717.202
